"sponsor","district","party","number","short_description","chamber","last_action","last_action_date"
"Kyle McCarter","54","R","SB1682","ELECTIONS-VOTER ID","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1683","LEGISLATIVE ETHICS TASK FORCE","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1719","DHS-TANF-SNAP-GA-DRUG TESTING","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1720","INC TX-TANF SNAP CREDIT","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1749","UNEMPLOY INS-FRAUD","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1750","UNEMPLOY INS-REQUALIFY","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1751","UNEMPLOY INS-MISCONDUCT","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1752","UNEMPLOY INS-VACATION PAY","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1753","UNEMPLOY INS-MINIMUM","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1969","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB1991","GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2248","FINANCE-FUND TRANSFERS","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2276","CRIMINAL LAW-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2281","HABITAT STAMP-FEE EXCEPTION","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2310","$COURT OF CLAIMS","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2357","SCHOOLS AND PENSIONS","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2367","SCHOOLS-MANDATES-TRS COSTSHIFT","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2368","PENCD-COLA-TRS COST SHIFT","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2622","WORKERS COMP-TRAVEL-CAUSATION","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2623","WORKERS COMP-ARM-SHOULDER-COMP","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2625","WORKERS COMP-MISCONDUCT","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2626","WORKERS COMP-WEEKLY WAGE","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB2637","MARRIAGE FAIRNESS ACT-REPEAL","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3136","SAFETY-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3140","SAFETY-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3141","FIREARM CONCEALED CARRY","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3142","FIREARM CONCEALED CARRY","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3143","FIREARM CONCEALED CARRY","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3343","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3344","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3345","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3346","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3347","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3348","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3349","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3350","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3351","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3352","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3353","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3354","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3355","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3356","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3357","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3370","LABOR AGREEMENT HEARINGS","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SB3507","WATERWORKS CHARGE","S","Bill Dead - Amendatory Veto No Positive Action Taken","11/24/2014"
"Kyle McCarter","54","R","SB3549","PENS CD-FUNDING GOAL","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SR220","MEMORIAL - CPL. AARON RIPPERDA","S","Resolution Adopted","4/12/2013"
"Kyle McCarter","54","R","SR415","URGE SNAP NUTRITIONAL STANDRDS","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SR638","COMMON CORE ST STANDARDS-DELAY","S","Session Sine Die","1/13/2015"
"Kyle McCarter","54","R","SR1175","MEMORIAL - DALLAS HARVEY","S","Resolution Adopted","5/8/2014"
"Kyle McCarter","54","R","SR1482","MEMORIAL - CHARLES G. RAKERS","S","Resolution Adopted","11/20/2014"
"Kyle McCarter","54","R","SR1483","MEMORIAL - TROY WARD","S","Resolution Adopted","11/20/2014"
"Karen McConnaughay","33","R","SB1530","LOW SPEED & NON-HWY VEHICLES","S","Public Act . . . . . . . . . 98-0567","8/27/2013"
"Karen McConnaughay","33","R","SB2158","ALT DISPUTE RESOLUTION-TECH","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB2386","VEH CD-ONE LICENSE PLATE","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB2387","RTA CHAIRMAN-VETO POWER","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB2724","ANTIQUE VEHICLE REQUIREMENTS","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB3232","PEN CD-PART-TIME SERVICE","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB3270","NUCLEAR SAFETY-COBALT 60","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB3291","LOCAL GOVT-POST RECORDS","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB3292","LOCAL GOVT-POST RECORDS","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB3293","LOCAL GOVT-POST RECORDS","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SB3294","LOCAL GOVT-RECYCLING BINS","S","Public Act . . . . . . . . . 98-1116","8/26/2014"
"Karen McConnaughay","33","R","SB3387","FOX VALLEY PARK DISTRICT","S","Public Act . . . . . . . . . 98-0772","7/16/2014"
"Karen McConnaughay","33","R","SB3430","REAL ESTATE APPRAISER","S","Session Sine Die","1/13/2015"
"Karen McConnaughay","33","R","SR709","MEMORIAL - NEIL K. OLSON","S","Resolution Adopted","12/3/2013"
"Karen McConnaughay","33","R","SR710","MEMORIAL - SUSAN TEGELER","S","Resolution Adopted","12/3/2013"
"Karen McConnaughay","33","R","SR711","MEMORIAL - GENE NOTTOLINI","S","Resolution Adopted","12/3/2013"
"Karen McConnaughay","33","R","SR712","MEMORIAL - JIM HANSEN","S","Resolution Adopted","12/3/2013"
"Karen McConnaughay","33","R","SR884","MEMORIAL - JERRY P. PERRONE","S","Resolution Adopted","2/5/2014"
"Karen McConnaughay","33","R","SR964","MEMORIAL - FRANCIS W. CARLBORG","S","Resolution Adopted","3/6/2014"
"Karen McConnaughay","33","R","SR965","MEMORIAL - MARY LOU BURGESS","S","Resolution Adopted","3/6/2014"
"Karen McConnaughay","33","R","SR966","MEMORIAL - DENNY AYALA","S","Resolution Adopted","3/6/2014"
"Karen McConnaughay","33","R","SR1004","MEMORIAL ELIZABETH GROTBERG","S","Resolution Adopted","3/21/2014"
"Karen McConnaughay","33","R","SR1005","MEMORIAL - ALVIN J. SCHUMAN","S","Resolution Adopted","3/21/2014"
"Karen McConnaughay","33","R","SR1059","MEMORIAL - RONALD STACHOWICZ","S","Resolution Adopted","4/3/2014"
"Karen McConnaughay","33","R","SR1078","MEMORIAL - PATRICIA LEE","S","Resolution Adopted","4/10/2014"
"Karen McConnaughay","33","R","SR1146","MEMORIAL - JAMES WHEELER","S","Resolution Adopted","5/8/2014"
"Karen McConnaughay","33","R","SR1296","MEMORIAL - WILLIAM COX","S","Resolution Adopted","11/20/2014"
"Karen McConnaughay","33","R","SR1306","MEMORIAL - JOHN J. FORNI, JR.","S","Resolution Adopted","11/20/2014"
"Pat McGuire","43","D","SB1169","CHLD SUPPORT-ENFORCEMENT ORDER","S","Public Act . . . . . . . . . 98-0081","7/15/2013"
"Pat McGuire","43","D","SB1170","UNLAWFUL POSS. OF WILDLIFE","S","Public Act . . . . . . . . . 98-0119","7/30/2013"
"Pat McGuire","43","D","SB1757","COMMERCIAL DRIVER'S LICENSE","S","Public Act . . . . . . . . . 98-0176","8/5/2013"
"Pat McGuire","43","D","SB1996","APPELLATE PROSECUTOR-PROTOCOL","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SB2337","PTELL-SCHOOL SAFETY LEVIES","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SB2403","COUNTIES CD-CASA FEE","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SB3024","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SB3109","OPTOMETRISTS-HYDROCODONE","S","Public Act . . . . . . . . . 98-1111","8/26/2014"
"Pat McGuire","43","D","SB3288","G.A. ELECTRONIC SESSION LAWS","S","Public Act . . . . . . . . . 98-1115","8/26/2014"
"Pat McGuire","43","D","SB3289","NUCLEAR ACCIDENT PLANS","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SB3290","LIABILITY: OFF-ROAD RIDING","S","Public Act . . . . . . . . . 98-0847","8/1/2014"
"Pat McGuire","43","D","SB3298","ALTERNATIVE FUEL - TECH","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SB3441","HIGHER ED-DISTANCE LEARNING","S","Public Act . . . . . . . . . 98-0792","7/25/2014"
"Pat McGuire","43","D","SB3510","LOCAL GOVT-PROFESSIONAL SERVS","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SB3511","EDUCATION-TECH","S","Session Sine Die","1/13/2015"
"Pat McGuire","43","D","SR37","MEMORIAL EDWIN BERTRAND","S","Resolution Adopted","2/7/2013"
"Pat McGuire","43","D","SR38","MEMORIAL - MARENE HARDY-BATES","S","Resolution Adopted","2/7/2013"
"Pat McGuire","43","D","SR80","MEMORIAL - JOSEPH COOK SR.","S","Resolution Adopted","2/14/2013"
"Pat McGuire","43","D","SR81","MEMORIAL - EMMETT SEVERSON","S","Resolution Adopted","2/14/2013"
"Pat McGuire","43","D","SR82","MEMORIAL - ROBERT MILLER","S","Resolution Adopted","2/14/2013"
"Pat McGuire","43","D","SR87","MEMORIAL MILTON F WUNDERLICH","S","Resolution Adopted","2/14/2013"
"Pat McGuire","43","D","SR100","MEMORIAL - LUDWIG BOLLERO","S","Resolution Adopted","3/1/2013"
"Pat McGuire","43","D","SR125","MEMORIAL JOEL KAGANN","S","Resolution Adopted","3/1/2013"
"Pat McGuire","43","D","SR137","MEMORIAL ROBERT SCHANKS","S","Resolution Adopted","3/7/2013"
"Pat McGuire","43","D","SR139","MEMORIAL JOSEPH G ROJEK","S","Resolution Adopted","3/7/2013"
"Pat McGuire","43","D","SR162","MEMORIAL - MARY MATTSON","S","Resolution Adopted","3/21/2013"
"Pat McGuire","43","D","SR186","MEMORIAL ANN ZELKO","S","Resolution Adopted","4/12/2013"
"Pat McGuire","43","D","SR234","MEMORIAL ANGELO J GARBIN","S","Resolution Adopted","4/18/2013"
"Pat McGuire","43","D","SR263","MEMORIAL MORTON D BARNETT","S","Resolution Adopted","4/25/2013"
"Pat McGuire","43","D","SR264","MEMORIAL - JOHN TIPTON","S","Resolution Adopted","4/25/2013"
"Pat McGuire","43","D","SR294","MEMORIAL CHARLES E EVANS JR","S","Resolution Adopted","5/9/2013"
"Pat McGuire","43","D","SR300","MEMORIAL - THERESA MICETICH","S","Resolution Adopted","5/9/2013"
"Pat McGuire","43","D","SR311","MEMORIAL - NANCY JONES","S","Resolution Adopted","5/17/2013"
"Pat McGuire","43","D","SR384","MEMORIAL - NORMA LESH","S","Resolution Adopted","6/19/2013"
"Pat McGuire","43","D","SR400","MEMORIAL - ANGELINA DEANGELIS","S","Resolution Adopted","7/9/2013"
"Pat McGuire","43","D","SR401","MEMORIAL - GORDON L. COOK","S","Resolution Adopted","7/9/2013"
"Pat McGuire","43","D","SR567","MEMORIAL - CATHERINE HOLY","S","Resolution Adopted","10/23/2013"
"Pat McGuire","43","D","SR568","MEMORIAL-ANTHONY D'AMICO, JR.","S","Resolution Adopted","10/23/2013"
"Pat McGuire","43","D","SR757","MEMORIAL - MARK N. VALADE","S","Resolution Adopted","1/29/2014"
"Pat McGuire","43","D","SR758","MEMORIAL - LAVERNE S. BROWN","S","Resolution Adopted","1/29/2014"
"Pat McGuire","43","D","SR765","MEMORIAL - JAMES A. FEENEY","S","Resolution Adopted","1/29/2014"
"Pat McGuire","43","D","SR766","MEMORIAL - VIRGINIA J. MAFFEO","S","Resolution Adopted","1/29/2014"
"Pat McGuire","43","D","SR885","MEMORIAL - CATHERINE A. SKLARE","S","Resolution Adopted","2/5/2014"
"Pat McGuire","43","D","SR886","MEMORIAL - JAMES HOLLINS, SR.","S","Resolution Adopted","2/5/2014"
"Pat McGuire","43","D","SR904","MEMORIAL - R. W. GEORGANTAS SR","S","Resolution Adopted","2/5/2014"
"Pat McGuire","43","D","SR947","MEMORIAL - JAMES R. KOERNER","S","Resolution Adopted","2/20/2014"
"Pat McGuire","43","D","SR948","MEMORIAL - DOROTHY JERISHA","S","Resolution Adopted","2/20/2014"
"Pat McGuire","43","D","SR1019","MEMORIAL - DORIS NORBERG","S","Resolution Adopted","3/27/2014"
"Pat McGuire","43","D","SR1094","MEMORIAL - ROBERT KROCKEY","S","Resolution Adopted","5/1/2014"
"Pat McGuire","43","D","SR1095","MEMORIAL - LOUIS PEYLA","S","Resolution Adopted","5/1/2014"
"Pat McGuire","43","D","SR1096","MEMORIAL - MARIANNE U. KOZLIK","S","Resolution Adopted","5/1/2014"
"Pat McGuire","43","D","SR1143","MEMORIAL - AUDREY LEVISON","S","Resolution Adopted","5/8/2014"
"Pat McGuire","43","D","SR1224","MEMORIAL - NORBERT R. CORA","S","Resolution Adopted","5/23/2014"
"Pat McGuire","43","D","SR1225","MEMORIAL - DOLORES A. GOULDING","S","Resolution Adopted","5/23/2014"
"Pat McGuire","43","D","SR1226","MEMORIAL - RENA L. BROWN","S","Resolution Adopted","5/23/2014"
"Pat McGuire","43","D","SR1227","MEMORIAL - LOUIS CIUFFINI","S","Resolution Adopted","5/23/2014"
"Pat McGuire","43","D","SR1229","MEMORIAL - HENRY J. PYE, III","S","Resolution Adopted","5/23/2014"
"Pat McGuire","43","D","SR1347","MEMORIAL - JOANNE ADLER","S","Resolution Adopted","11/20/2014"
"Pat McGuire","43","D","SR1473","MEMORIAL - GOLDIE HERSHMAN","S","Resolution Adopted","11/20/2014"
"Pat McGuire","43","D","SR1474","MEMORIAL - LOUISE FIELDS","S","Resolution Adopted","11/20/2014"
"Pat McGuire","43","D","SR1475","MEMORIAL - ROBERT C. BEUTEL","S","Resolution Adopted","11/20/2014"
"Pat McGuire","43","D","SR1553","MEMORIAL - RAYMOND SUSTE","S","Resolution Adopted","11/20/2014"
"Pat McGuire","43","D","SR1638","MEMORIAL - JAMES SCZEPANIAK","S","Resolution Adopted","11/20/2014"
"Pat McGuire","43","D","SR1707","MEMORIAL - LEO BERNHARD","S","Resolution Adopted","12/4/2014"
"Pat McGuire","43","D","SJR71","MEMORIAL - AUDREY LEVISON","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB344","INC TX-DEDUCTION-OLYMPIC MEDAL","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB824","HEALTH-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB1477","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB1478","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB1479","BOATING UNDER THE INFLUENCE","S","Public Act . . . . . . . . . 98-0103","7/22/2013"
"Julie A. Morrison","29","D","SB1599","DCFS-EMPLOYEE BACKGROUND CHECK","S","Public Act . . . . . . . . . 98-0570","8/27/2013"
"Julie A. Morrison","29","D","SB1805","WATERCRAFT TOWING","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB1806","FALSE CLAIMS ACT-TAX CLAIMS","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2217","DHS-EARLY INTERVENTION SERVICE","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2219","MEDICAID-PERSONAL NEEDS ALLOW","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2618","CTY CD-REMOVAL OF APPOINTEES","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2663","BUSINESS SPECIAL OP FUND-FEES","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2673","PROP TAX-ADDL COMP TO ASSESSOR","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2687","STATE GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2688","STATE GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2731","WATERCRAFT TOWING","S","Public Act . . . . . . . . . 98-0697","7/7/2014"
"Julie A. Morrison","29","D","SB2833","EDGE-LIMIT ON CREDITS","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2862","$ISAC-CHILD WLFR LOAN FORGIVE","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB2909","DCFS-CASE TRACKNG-SAFETY PLANS","S","Public Act . . . . . . . . . 98-0830","8/1/2014"
"Julie A. Morrison","29","D","SB3009","DCFS ANNUAL PROGRESS REPORT","S","Public Act . . . . . . . . . 98-0839","8/1/2014"
"Julie A. Morrison","29","D","SB3124","DHFS-PERSONAL NEEDS-INCREASES","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB3181","REVENUE-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB3215","REGULATION-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB3217","CHILDREN'S JUSTICE TASK FORCE","S","Public Act . . . . . . . . . 98-0845","8/1/2014"
"Julie A. Morrison","29","D","SB3218","STATE GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB3225","POLICE TRAINING ACT-VETERANS","S","Public Act . . . . . . . . . 98-0960","8/15/2014"
"Julie A. Morrison","29","D","SB3421","ABUSED CHILD-REPORTER-TRAINING","S","Public Act . . . . . . . . . 98-0850","8/1/2014"
"Julie A. Morrison","29","D","SB3433","BOATER SAFETY COURSES","S","Public Act . . . . . . . . . 98-0698","7/7/2014"
"Julie A. Morrison","29","D","SB3434","CRIM CD-SEIZURE WATERCRAFT","S","Public Act . . . . . . . . . 98-0699","7/7/2014"
"Julie A. Morrison","29","D","SB3544","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SB3552","CTY CD-REMOVAL OF APPOINTEES","S","Public Act . . . . . . . . . 98-0779","7/21/2014"
"Julie A. Morrison","29","D","SB3554","SCH CD-PURCHASE CARE REVIEW BD","S","Public Act . . . . . . . . . 98-1008","8/18/2014"
"Julie A. Morrison","29","D","SB3678","ALTERNATIVE NICOTINE PRODUCT","S","Session Sine Die","1/13/2015"
"Julie A. Morrison","29","D","SR255","MEMORIAL RICHARD A GIESEN","S","Resolution Adopted","4/25/2013"
"Julie A. Morrison","29","D","SR280","MEMORIAL WILLIAM B JOHNSON","S","Resolution Adopted","5/2/2013"
"Julie A. Morrison","29","D","SR335","MEMORIAL RABBI REUVEN FRANKEL","S","Resolution Adopted","5/31/2013"
"Julie A. Morrison","29","D","SR336","MEMORIAL - JAMES F HERBER","S","Resolution Adopted","5/31/2013"
"Julie A. Morrison","29","D","SR527","MEMORIAL - MARY BARB JOHNSON","S","Resolution Adopted","10/23/2013"
"Julie A. Morrison","29","D","SR528","MEMORIAL - BRUCE MACFARLANE","S","Resolution Adopted","10/23/2013"
"Julie A. Morrison","29","D","SR953","MEMORIAL - VINCENZO PETRELLA","S","Resolution Adopted","2/27/2014"
"Julie A. Morrison","29","D","SR957","EDGE AUDIT","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB115","GOVERNMENT-TECH","S","Public Act . . . . . . . . . 98-0555","8/27/2013"
"John G. Mulroe","10","D","SB116","GOVERNMENT-TECH","S","Public Act . . . . . . . . . 98-0618","1/7/2014"
"John G. Mulroe","10","D","SB450","PUBLIC EMPLOYEE BENEFITS-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB451","PUBLIC EMPLOYEE BENEFITS-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB504","MUNI CD-TIF DISTRICT-CHICAGO","S","Public Act . . . . . . . . . 98-0667","6/25/2014"
"John G. Mulroe","10","D","SB852","SMOKE FREE-SIGNS-ASHTRAYS","S","Public Act . . . . . . . . . 98-1023","8/22/2014"
"John G. Mulroe","10","D","SB927","VEH CD-EMERGENCY LANE PATROL","S","Public Act . . . . . . . . . 98-0873","8/11/2014"
"John G. Mulroe","10","D","SB1007","CRIMINAL LAW-TECH","S","Public Act . . . . . . . . . 98-0621","1/7/2014"
"John G. Mulroe","10","D","SB1249","CRIM CD-AGGRAVATED BATTERY","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1340","PROBATE ACT-DCFS: COURT FEES","S","Public Act . . . . . . . . . 98-0089","7/15/2013"
"John G. Mulroe","10","D","SB1583","PENCD-CHGO FIRE-RETMT INCREASE","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1584","PEN CD-COOK CO-DISABILITY","S","Public Act . . . . . . . . . 98-0043","6/28/2013"
"John G. Mulroe","10","D","SB1588","FOOD HANDLING-SANITATION MGR","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1635","PEN CD-CHGO FIRE-CITY CONTRIBS","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1636","INS CD-DAMAGES","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1724","MHDD-CERTIFICATE-PSYCHIATRIST","S","Public Act . . . . . . . . . 98-0865","8/8/2014"
"John G. Mulroe","10","D","SB1725","GAMING BD-CHICAGO LICENSE","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1726","JOINT SELF-INSURANCE","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1756","ELECTRONIC CIGARETTE-MINOR","S","Public Act . . . . . . . . . 98-0350","8/15/2013"
"John G. Mulroe","10","D","SB1841","DFPR-REMOVE PUBLIC RECORD","S","Public Act . . . . . . . . . 98-0816","8/1/2014"
"John G. Mulroe","10","D","SB1843","PROBATION-TRANSFER CASE","S","Public Act . . . . . . . . . 98-0575","8/27/2013"
"John G. Mulroe","10","D","SB1844","JUV CT-JUV DETENTION","S","Public Act . . . . . . . . . 98-0536","8/23/2013"
"John G. Mulroe","10","D","SB1846","CIV PRO:COURT PRO BONO PROGRAM","S","Total Veto Stands","10/31/2013"
"John G. Mulroe","10","D","SB1872","CRIM CD-PROSTITUTION-PENALTY","S","Public Act . . . . . . . . . 98-0538","8/23/2013"
"John G. Mulroe","10","D","SB1873","INS CD-WORKERS COMP-POOL-FUND","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1913","EMPLOY RETALIATORY DISCHARGE","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB1941","UNIFORM ELECTR LEGAL MATERIAL","S","Public Act . . . . . . . . . 98-1097","8/26/2014"
"John G. Mulroe","10","D","SB2184","CARNIVAL/AMUSEMENT-VARIOUS","S","Public Act . . . . . . . . . 98-0541","8/23/2013"
"John G. Mulroe","10","D","SB2222","FOIA-EXCLUDE COURTS","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2338","HEALTH-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2339","JOINT SELF-INSURANCE POOLS","S","Public Act . . . . . . . . . 98-0504","8/16/2013"
"John G. Mulroe","10","D","SB2670","HEPATITIS C SCREENING ACT","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2703","CIVIL LAW-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2704","CIVIL LAW-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2730","STRICT FORECLOSURE ACTIONS","S","Public Act . . . . . . . . . 98-1099","8/26/2014"
"John G. Mulroe","10","D","SB2798","JUV CT-ABUSED MINOR-EVIDENCE","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2835","PEN CD-CHGO FIRE-ANNUAL REPORT","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2864","PUBLIC AID-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB2892","CONDOMINIUMS-DECLARATION TERMS","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB3019","HEALTH-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB3020","REGULATION-TECH","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB3021","PENS CD-CHGO POLICE-COLA INCR","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB3022","ACCESS TO JUSTICE-TASK FORCE","S","Public Act . . . . . . . . . 98-0763","7/16/2014"
"John G. Mulroe","10","D","SB3023","MECHANICS LIENS-SUBORDINATION","S","Public Act . . . . . . . . . 98-0764","7/16/2014"
"John G. Mulroe","10","D","SB3074","CD CORR-EXTEND PROBATION","S","Public Act . . . . . . . . . 98-0953","8/15/2014"
"John G. Mulroe","10","D","SB3075","JUV CT-PROBATION ADJUSTMENT","S","Public Act . . . . . . . . . 98-1132","12/19/2014"
"John G. Mulroe","10","D","SB3076","ADVANCE DIRECTIVES-POLST FORM","S","Public Act . . . . . . . . . 98-1110","8/26/2014"
"John G. Mulroe","10","D","SB3077","BLOOD BANK ACT-SPECIMENS","S","Public Act . . . . . . . . . 98-0767","7/16/2014"
"John G. Mulroe","10","D","SB3268","TOBACCO-MINORS-E CIGARETTE","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB3375","POLICE TRAIN-PROBATION OFFICER","S","Session Sine Die","1/13/2015"
"John G. Mulroe","10","D","SB3440","DOWNSTATE HEALTH ACT-FUND","S","Public Act . . . . . . . . . 98-1006","8/18/2014"
"John G. Mulroe","10","D","SR120","MEMORIAL - NANCY MARTIN","S","Resolution Adopted","3/1/2013"
